id;jhi_blob;jhi_blob_content_type;nome_file
1;../fake-data/blob/hipster.png;image/png;worst
2;../fake-data/blob/hipster.png;image/png;boo anenst bah
3;../fake-data/blob/hipster.png;image/png;for cold
4;../fake-data/blob/hipster.png;image/png;whoever phew limply
5;../fake-data/blob/hipster.png;image/png;whereas impression
6;../fake-data/blob/hipster.png;image/png;estate delightful astrakhan
7;../fake-data/blob/hipster.png;image/png;concerning
8;../fake-data/blob/hipster.png;image/png;um furthermore phew
9;../fake-data/blob/hipster.png;image/png;supposing disgust blah
10;../fake-data/blob/hipster.png;image/png;delineate afore
